timestamp,open,high,low,close,volume
2026-08-11T17:34:05+00:00,1.080000,1.080199,1.079848,1.080112,598
2026-08-11T17:35:05+00:00,1.080112,1.080479,1.080100,1.080456,263
2026-08-11T17:36:05+00:00,1.080456,1.080893,1.080388,1.080615,469
2026-08-11T17:37:05+00:00,1.080615,1.080829,1.080256,1.080391,46
2026-08-11T17:38:05+00:00,1.080391,1.080636,1.080368,1.080528,384
2026-08-11T17:39:05+00:00,1.080528,1.080904,1.080452,1.080823,392
2026-08-11T17:40:05+00:00,1.080823,1.081106,1.079934,1.080607,427
2026-08-11T17:41:05+00:00,1.080607,1.080650,1.080435,1.080593,410
2026-08-11T17:42:05+00:00,1.080593,1.080673,1.080372,1.080385,121
2026-08-11T17:43:05+00:00,1.080385,1.080925,1.080169,1.080732,504
2026-08-11T17:44:05+00:00,1.080732,1.080867,1.080675,1.080712,113
2026-08-11T17:45:05+00:00,1.080712,1.081242,1.080362,1.081053,207
2026-08-11T17:46:05+00:00,1.081053,1.081113,1.080908,1.080995,372
2026-08-11T17:47:05+00:00,1.080995,1.081031,1.080749,1.080968,72
2026-08-11T17:48:05+00:00,1.080968,1.081325,1.080831,1.081208,362
2026-08-11T17:49:05+00:00,1.081208,1.081541,1.081173,1.081175,509
2026-08-11T17:50:05+00:00,1.081175,1.081544,1.080704,1.081418,478
2026-08-11T17:51:05+00:00,1.081418,1.081648,1.081280,1.081459,181
2026-08-11T17:52:05+00:00,1.081459,1.081494,1.081326,1.081491,472
2026-08-11T17:53:05+00:00,1.081491,1.082158,1.081258,1.081894,519
2026-08-11T17:54:05+00:00,1.081894,1.082054,1.080787,1.081313,589
2026-08-11T17:55:05+00:00,1.081313,1.081533,1.081038,1.081501,340
2026-08-11T17:56:05+00:00,1.081501,1.081657,1.081173,1.081371,552
2026-08-11T17:57:05+00:00,1.081371,1.081517,1.081364,1.081371,345
2026-08-11T17:58:05+00:00,1.081371,1.081878,1.081302,1.081713,583
2026-08-11T17:59:05+00:00,1.081713,1.082320,1.081476,1.081991,154
2026-08-11T18:00:05+00:00,1.081991,1.082135,1.081730,1.082000,110
2026-08-11T18:01:05+00:00,1.082000,1.082285,1.081973,1.082155,526
2026-08-11T18:02:05+00:00,1.082155,1.082303,1.081800,1.082268,592
2026-08-11T18:03:05+00:00,1.082268,1.082394,1.081631,1.081948,448
2026-08-11T18:04:05+00:00,1.081948,1.082244,1.081868,1.082237,270
2026-08-11T18:05:05+00:00,1.082237,1.082351,1.082210,1.082225,265
2026-08-11T18:06:05+00:00,1.082225,1.082542,1.082205,1.082536,378
2026-08-11T18:07:05+00:00,1.082536,1.082566,1.082400,1.082556,259
2026-08-11T18:08:05+00:00,1.082556,1.082648,1.082096,1.082251,524
2026-08-11T18:09:05+00:00,1.082251,1.082288,1.082092,1.082184,481
2026-08-11T18:10:05+00:00,1.082184,1.082370,1.081751,1.082063,140
2026-08-11T18:11:05+00:00,1.082063,1.082178,1.081908,1.082156,151
2026-08-11T18:12:05+00:00,1.082156,1.082257,1.082047,1.082158,295
2026-08-11T18:13:05+00:00,1.082158,1.082591,1.081972,1.082229,140
2026-08-11T18:14:05+00:00,1.082229,1.083160,1.081747,1.082904,282
2026-08-11T18:15:05+00:00,1.082904,1.082975,1.082816,1.082823,450
2026-08-11T18:16:05+00:00,1.082823,1.082938,1.082693,1.082912,505
2026-08-11T18:17:05+00:00,1.082912,1.083238,1.082731,1.083175,538
2026-08-11T18:18:05+00:00,1.083175,1.083416,1.082925,1.083259,361
2026-08-11T18:19:05+00:00,1.083259,1.083340,1.083106,1.083154,583
2026-08-11T18:20:05+00:00,1.083154,1.083571,1.083111,1.083396,280
2026-08-11T18:21:05+00:00,1.083396,1.083766,1.083336,1.083608,80
2026-08-11T18:22:05+00:00,1.083608,1.083719,1.083119,1.083479,249
2026-08-11T18:23:05+00:00,1.083479,1.083531,1.083304,1.083424,174
2026-08-11T18:24:05+00:00,1.083424,1.083507,1.083359,1.083359,509
2026-08-11T18:25:05+00:00,1.083359,1.083424,1.083269,1.083297,590
2026-08-11T18:26:05+00:00,1.083297,1.083475,1.083002,1.083325,418
2026-08-11T18:27:05+00:00,1.083325,1.083443,1.083060,1.083108,349
2026-08-11T18:28:05+00:00,1.083108,1.083395,1.082487,1.082764,346
2026-08-11T18:29:05+00:00,1.082764,1.083081,1.082534,1.082778,310
2026-08-11T18:30:05+00:00,1.082778,1.082872,1.082753,1.082830,391
2026-08-11T18:31:05+00:00,1.082830,1.083069,1.082781,1.083025,540
2026-08-11T18:32:05+00:00,1.083025,1.083163,1.082944,1.083023,85
2026-08-11T18:33:05+00:00,1.083023,1.083033,1.082748,1.082827,308
2026-08-11T18:34:05+00:00,1.082827,1.083035,1.082764,1.082905,192
2026-08-11T18:35:05+00:00,1.082905,1.082985,1.082745,1.082881,191
2026-08-11T18:36:05+00:00,1.082881,1.082893,1.082612,1.082846,80
2026-08-11T18:37:05+00:00,1.082846,1.082875,1.082590,1.082705,145
2026-08-11T18:38:05+00:00,1.082705,1.082858,1.082358,1.082606,282
2026-08-11T18:39:05+00:00,1.082606,1.082872,1.082532,1.082572,462
2026-08-11T18:40:05+00:00,1.082572,1.082792,1.082432,1.082770,294
2026-08-11T18:41:05+00:00,1.082770,1.082779,1.082643,1.082679,79
2026-08-11T18:42:05+00:00,1.082679,1.082806,1.082567,1.082732,273
2026-08-11T18:43:05+00:00,1.082732,1.082795,1.082672,1.082757,325
2026-08-11T18:44:05+00:00,1.082757,1.082917,1.082647,1.082730,68
2026-08-11T18:45:05+00:00,1.082730,1.082781,1.082689,1.082698,311
2026-08-11T18:46:05+00:00,1.082698,1.083035,1.082670,1.082998,563
2026-08-11T18:47:05+00:00,1.082998,1.083040,1.082889,1.082920,85
2026-08-11T18:48:05+00:00,1.082920,1.083015,1.082618,1.083004,241
2026-08-11T18:49:05+00:00,1.083004,1.083183,1.082932,1.083031,378
2026-08-11T18:50:05+00:00,1.083031,1.083113,1.082875,1.082952,458
2026-08-11T18:51:05+00:00,1.082952,1.082996,1.082799,1.082929,236
2026-08-11T18:52:05+00:00,1.082929,1.083106,1.082515,1.082692,348
2026-08-11T18:53:05+00:00,1.082692,1.082742,1.082567,1.082654,255
2026-08-11T18:54:05+00:00,1.082654,1.082740,1.082395,1.082556,258
2026-08-11T18:55:05+00:00,1.082556,1.082768,1.082232,1.082677,213
2026-08-11T18:56:05+00:00,1.082677,1.082799,1.082627,1.082693,280
2026-08-11T18:57:05+00:00,1.082693,1.082748,1.082591,1.082732,65
2026-08-11T18:58:05+00:00,1.082732,1.083368,1.082713,1.083246,239
2026-08-11T18:59:05+00:00,1.083246,1.083370,1.083050,1.083161,191
2026-08-11T19:00:05+00:00,1.083161,1.083253,1.083151,1.083238,475
2026-08-11T19:01:05+00:00,1.083238,1.083300,1.083100,1.083251,515
2026-08-11T19:02:05+00:00,1.083251,1.083499,1.082927,1.083455,583
2026-08-11T19:03:05+00:00,1.083455,1.084048,1.083165,1.083624,493
2026-08-11T19:04:05+00:00,1.083624,1.083770,1.083429,1.083515,202
2026-08-11T19:05:05+00:00,1.083515,1.083652,1.083401,1.083423,293
2026-08-11T19:06:05+00:00,1.083423,1.083716,1.083286,1.083589,490
2026-08-11T19:07:05+00:00,1.083589,1.083710,1.083526,1.083696,367
2026-08-11T19:08:05+00:00,1.083696,1.083872,1.083656,1.083848,259
2026-08-11T19:09:05+00:00,1.083848,1.084100,1.083792,1.084015,465
2026-08-11T19:10:05+00:00,1.084015,1.084528,1.083974,1.084430,60
2026-08-11T19:11:05+00:00,1.084430,1.084451,1.083880,1.084090,46
2026-08-11T19:12:05+00:00,1.084090,1.084383,1.083883,1.084341,591
2026-08-11T19:13:05+00:00,1.084341,1.084607,1.084138,1.084218,265
2026-08-11T19:14:05+00:00,1.084218,1.084227,1.083985,1.084170,454
2026-08-11T19:15:05+00:00,1.084170,1.084719,1.083776,1.084468,586
2026-08-11T19:16:05+00:00,1.084468,1.084808,1.084209,1.084777,178
2026-08-11T19:17:05+00:00,1.084777,1.085019,1.084606,1.084940,375
2026-08-11T19:18:05+00:00,1.084940,1.085296,1.084666,1.085100,471
2026-08-11T19:19:05+00:00,1.085100,1.085485,1.085087,1.085462,592
2026-08-11T19:20:05+00:00,1.085462,1.086190,1.085164,1.086087,81
